date, pm25, pm10, o3, no2, so2
2019/3/10, 45, 18, 22, 24, 1
2019/3/11, 50, 29, 44, 19, 1
2019/3/12, 71, 47, 52, 15, 2
2019/3/13, 87, 45, 47, 18, 1
2019/3/14, 88, 34, 23, 24, 1
2019/3/15, 88, 41, 48, 12, 2
2019/3/16, 71, 51, 60, 10, 2
2019/3/17, 82, 39, 48, 18, 1
2019/3/18, 77, 37, 25, 26, 2
2019/3/19, 79, 48, 30, 20, 1
2019/3/20, 99, 30, 6, 31, 2
2019/3/21, 70, 25, 7, 25, 2
2019/3/22, 60, 16, 27, 11, 1
2019/3/23, 36, 12, 35, 8, 1
2019/3/24, 34, 24, 32, 25, 1
2019/3/25, 58, 26, 40, 16, 1
2019/3/26, 63, 30, 38, 15, 2
2019/3/27, 65, 37, 25, 27, 2
2019/3/28, 75, 32, 4, 32, 2
2019/3/29, 69, 20, 35, 18, 1
2019/3/30, 61, 41, 55, 7, 2
2019/3/31, 80, 50, 42, 11, 1
2018/10/1, 93, 58, 60, 15, 3
2018/10/2, 92, 59, 61, 18, 3
2018/10/3, 91, 57, 61, 28, 5
2018/10/4, 90, 54, 62, 26, 4
2018/10/5, 89, 48, 54, 19, 4
2018/10/6, 84, 47, 54, 11, 3
2018/10/7, 88, 50, 56, 13, 3
2018/10/8, 88, 46, 37, 17, 2
2018/10/9, 84, 50, 33, 24, 2
2018/10/10, 104, 37, 29, 23, 1
2018/10/11, 82, 31, 33, 15, 2
2018/10/12, 68, 36, 38, 12, 2
2018/10/13, 64, 38, 35, 8, 2
2018/10/14, 59, 37, 30, 15, 3
2018/10/15, 63, 27, 21, 26, 3
2018/10/16, 60, 21, 10, 20, 2
2018/10/17, 51, 18, 23, 15, 1
2018/10/18, 42, 46, 42, 12, 1
2018/10/19, 82, 39, 40, 9, 1
2018/10/20, 70, 38, 40, 8, 2
2018/10/21, 69, 36, 30, 17, 2
2018/10/22, 70, 39, 31, 18, 2
2018/10/23, 79, 32, 36, 13, 2
2018/10/24, 66, 44, 40, 13, 2
2018/10/25, 82, 59, 35, 41, 3
2018/10/26, 119, 41, 33, 19, 2
2018/10/27, 77, 49, 43, 24, 3
2018/10/28, 78, 41, 36, 31, 3
2018/10/29, 66, 44, 41, 26, 3
2018/10/30, 67, 50, 39, 23, 3
2018/10/31, 74, 49, 43, 22, 3
2018/11/1, 75, 43, 32, 25, 2
2018/11/2, 93, 21, 14, 24, 2
2018/11/3, 49, 24, 30, 10, 2
2018/11/4, 61, 28, 34, 11, 3
2018/11/5, 68, 25, 35, 9, 3
2018/11/6, 56, 32, 31, 12, 3
2018/11/7, 68, 48, 25, 33, 4
2018/11/8, 100, 40, 40, 20, 3
2018/11/9, 87, 38, 35, 10, 3
2018/11/10, 74, 38, 38, 12, 3
2018/11/11, 82, 46, 39, 29, 4
2018/11/12, 99, 42, 34, 17, 3
2018/11/13, 91, 32, 34, 11, 2
2018/11/14, 63, 44, 33, 9, 2
2018/11/15, 74, 40, 36, 11, 3
2018/11/16, 77, 32, 33, 9, 2
2018/11/17, 69, 19, 31, 9, 3
2018/11/18, 51, 30, 29, 18, 3
2018/11/19, 63, 27, 34, 10, 3
2018/11/20, 55, 40, 35, 20, 3
2018/11/21, 73, 34, 16, 23, 3
2018/11/22, 60, 45, 33, 27, 3
2018/11/23, 85, 42, 37, 14, 3
2018/11/24, 78, 37, 33, 18, 3
2018/11/25, 81, 15, 22, 23, 3
2018/11/26, 39, 27, 17, 23, 3
2018/11/27, 65, 20, 20, 19, 2
2018/11/28, 55, 43, 38, 19, 4
2018/11/29, 86, 46, 45, 13, 4
2018/11/30, 81, 52, 44, 13, 4
2018/12/1, 88, 46, 37, 12, 4
2018/12/2, 82, 36, 28, 16, 3
2018/12/3, 71, 21, 16, 20, 3
2018/12/4, 52, 26, 28, 15, 3
2018/12/5, 58, 34, 27, 15, 4
2018/12/6, 72, 32, 30, 16, 4
2018/12/7, 73, 29, 8, 17, 3
2018/12/8, 59, 25, 7, 17, 4
2018/12/9, 58, 35, 6, 26, 4
2018/12/10, 63, 35, 5, 30, 4
2018/12/11, 57, 29, 4, 23, 3
2018/12/12, 49, 38, 8, 20, 3
2018/12/13, 71, 38, 9, 24, 3
2018/12/14, 74, 40, 28, 21, 3
2018/12/15, 74, 45, 15, 27, 3
2018/12/16, 88, 33, 24, 27, 3
2018/12/17, 61, 47, 43, 26, 4
2018/12/18, 73, 53, 45, 14, 3
2018/12/19, 76, 57, 39, 18, 4
2018/12/20, 88, 44, 33, 17, 3
2018/12/21, 89, 43, 36, 16, 4
2018/12/22, 93, 22, 23, 17, 3
2018/12/23, 59, 16, 12, 17, 3
2018/12/24, 39, 26, 24, 14, 3
2018/12/25, 58, 35, 17, 33, 5
2018/12/26, 79, 36, 25, 23, 4
2018/12/27, 75, 38, 22, 19, 4
2018/12/28, 70, 28, 11, 15, 3
2018/12/29, 58, 46, 13, 16, 2
